video_id,title,topic,confidence,scores
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 3}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
zjkBMFhNj_g,[1hr Talk] Intro to Large Language Models,ai-llms,0.571,"{""ai-llms"": 8, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 3}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.571,"{""ai-llms"": 8, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 2}"
zjkBMFhNj_g,[1hr Talk] Intro to Large Language Models,ai-llms,0.143,"{""ai-llms"": 2, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 0, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 1, ""software-engineering"": 3}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 2, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 1}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
zjkBMFhNj_g,[1hr Talk] Intro to Large Language Models,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 3, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 2}"
zjkBMFhNj_g,[1hr Talk] Intro to Large Language Models,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 3}"
qnVyY0zicF0,Stop Paying for AI Transcription Services,ai-llms,0.214,"{""ai-llms"": 3, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
sOPhVSeimtI,THIS is how to expose your apps to AI: WebMCP,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 2, ""software-engineering"": 3}"
G0sEM9ijkTE,You Should Be Using Tailscale,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 3, ""software-engineering"": 2}"
3bGdg9hTvws,Claude Code Just Built Me My Own NotebookLM (and made it way better),ai-llms,0.214,"{""ai-llms"": 3, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 2}"
3bGdg9hTvws,Claude Code Just Built Me My Own NotebookLM (and made it way better),software-engineering,0.462,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 6}"
3bGdg9hTvws,Claude Code Just Built Me My Own NotebookLM (and made it way better),ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 2, ""software-engineering"": 3}"
M02kXnomB2U,A Conversation with Jiquan Ngiam About Agent + MCP Security,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 4, ""faith"": 0, ""finance-investing"": 3, ""hardware-homelab"": 1, ""software-engineering"": 2}"
Sr1STQP0cds,This Startup Is Trying To Solve The AI Memory Problem,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 5, ""faith"": 0, ""finance-investing"": 3, ""hardware-homelab"": 0, ""software-engineering"": 5}"
y3xzYwxQuHc,Anthropic Just Dropped Remote Control for Claude Code,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 2}"
F_frSYyhzOE,Anthropic Just Dropped 17 New Claude Code Features,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 2, ""software-engineering"": 3}"
y3xzYwxQuHc,Anthropic Just Dropped the Feature Everyone Asked For,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 2}"
6omInQipcag,Claude Code's New Task System Explained,ai-llms,0.214,"{""ai-llms"": 3, ""business"": 2, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 3}"
F_frSYyhzOE,Claude Code Just Got a Major Upgrade | Here's What Changed,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 2, ""software-engineering"": 3}"
OzeJsrhh4k0,Why a Doomsday AI Blog Wiped Out $300 Billion | Prof G Markets,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 2, ""faith"": 0, ""finance-investing"": 5, ""hardware-homelab"": 0, ""software-engineering"": 3}"
QWzLPn164w0,Prompt Engineering Is Dead. Context Engineering Is Dying. What Comes Next Changes Everything.,ai-llms,0.714,"{""ai-llms"": 10, ""business"": 7, ""faith"": 0, ""finance-investing"": 5, ""hardware-homelab"": 1, ""software-engineering"": 4}"
p9acrso71KU,Clawdbot to Moltbot to OpenClaw: The 72 Hours That Broke Everything (The Full Breakdown),ai-llms,0.571,"{""ai-llms"": 8, ""business"": 4, ""faith"": 0, ""finance-investing"": 3, ""hardware-homelab"": 3, ""software-engineering"": 8}"
Q8wVMdwhlh4,The AI Agent Economy Is Here,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 3, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 4}"
jsI18Htgf8k,How I Turned Claude Code Into My Dev Team,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 3, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 2}"
jsI18Htgf8k,My 'Ship Daily' System with Claude Code & Linear,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 2, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 2}"
I1NdVZ6l5CQ,Claude Code & Cowork Now Run 24/7 — Scheduled Tasks,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 2, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 1}"
yANt4NysZw4,Claude Code Creator Reveals Anthropic MASTERCLASS,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
We7BZVKbCVw,Head of Claude Code: What happens after coding is solved | Boris Cherny,ai-llms,0.071,"{""ai-llms"": 1, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
We7BZVKbCVw,Head of Claude Code: What happens after coding is solved | Boris Cherny,business,0.556,"{""ai-llms"": 4, ""business"": 5, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 4}"
We7BZVKbCVw,Head of Claude Code: What happens after coding is solved | Boris Cherny,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 3, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 3}"
We7BZVKbCVw,Head of Claude Code: What happens after coding is solved | Boris Cherny,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 2, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 4}"
We7BZVKbCVw,Head of Claude Code: What happens after coding is solved | Boris Cherny,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 4, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 2}"
We7BZVKbCVw,Head of Claude Code: What happens after coding is solved | Boris Cherny,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 3, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 1, ""software-engineering"": 4}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",ai-llms,0.500,"{""ai-llms"": 7, ""business"": 3, ""faith"": 0, ""finance-investing"": 3, ""hardware-homelab"": 1, ""software-engineering"": 4}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",ai-llms,0.214,"{""ai-llms"": 3, ""business"": 0, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 3}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 4, ""hardware-homelab"": 1, ""software-engineering"": 4}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",ai-llms,0.500,"{""ai-llms"": 7, ""business"": 2, ""faith"": 0, ""finance-investing"": 4, ""hardware-homelab"": 0, ""software-engineering"": 2}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",ai-llms,0.357,"{""ai-llms"": 5, ""business"": 2, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 1, ""software-engineering"": 2}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",finance-investing,0.600,"{""ai-llms"": 4, ""business"": 3, ""faith"": 0, ""finance-investing"": 6, ""hardware-homelab"": 1, ""software-engineering"": 5}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",software-engineering,0.308,"{""ai-llms"": 2, ""business"": 1, ""faith"": 0, ""finance-investing"": 3, ""hardware-homelab"": 0, ""software-engineering"": 4}"
x9rWFiIubmc,"Claude Code for Finance + The Global Memory Shortage: Doug O'Laughlin, SemiAnalysis",software-engineering,0.385,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 4, ""hardware-homelab"": 0, ""software-engineering"": 5}"
CQeKmG1o85E,Stop Using Claude Code Without This Tool,ai-llms,0.643,"{""ai-llms"": 9, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 3}"
CQeKmG1o85E,Claude Code vs n8n? Why You Actually Need BOTH!,ai-llms,0.643,"{""ai-llms"": 9, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 3}"
VTKPbxhP8jE,Cathie Wood's Big Ideas 2026 Recap,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 3, ""faith"": 0, ""finance-investing"": 5, ""hardware-homelab"": 2, ""software-engineering"": 3}"
yANt4NysZw4,Claude Code Creator Reveals Anthropic MASTERCLASS,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
EKv42s8YnOM,CISL Seminar – Boyuan (Keven) Guan (Florida International University),ai-llms,0.071,"{""ai-llms"": 1, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 1}"
EKv42s8YnOM,CISL Seminar – Boyuan (Keven) Guan (Florida International University),ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 2, ""software-engineering"": 4}"
EKv42s8YnOM,CISL Seminar – Boyuan (Keven) Guan (Florida International University),ai-llms,0.286,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 4}"
sTdz6PZoAnw,Lecture 7: Agentic Coding,ai-llms,0.643,"{""ai-llms"": 9, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 5}"
sTdz6PZoAnw,Lecture 7: Agentic Coding,ai-llms,0.571,"{""ai-llms"": 8, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
sTdz6PZoAnw,Lecture 7: Agentic Coding,ai-llms,0.643,"{""ai-llms"": 9, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
9tmsq-Gvx6g,Never Run claude /init,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 5}"
XpxDwVt3OFw,2-Step Google Stitch System For Great App UX,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
XpxDwVt3OFw,I Found the Fastest Way to Get Great App UX,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
pvCabUerwss,How to Build a RAG System That Actually Works,ai-llms,0.714,"{""ai-llms"": 10, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
XVAhQ-EcrWA,I Can't Believe Anthropic Messed Up The Ralph Wiggum,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 3}"
eRu5kIYAAz8,Claude Code's HIDDEN Agent Swarm (Better Than Kimi K2.5?),ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 2}"
8_7Sq6Vu0S4,Stop Telling Claude Code What To Do,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 6}"
MSyWjPDrHJw,I Didn't Expect This To Work So Well,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
MSyWjPDrHJw,The Correct Way to Use Claude Code Teams,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
MSyWjPDrHJw,How I Use The New Claude Code Subagnets,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
MSyWjPDrHJw,Claude's Feature So Good That They Kept It Hidden,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
eFCHwtufjJc,How To Use NotebookLM - 7 Crazy Ways,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 2, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 2}"
MSyWjPDrHJw,Your AI Is Only Using a Fraction of Its Power,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
MSyWjPDrHJw,No More Delay... Upgrade Your Claude Code Workflow,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
MSyWjPDrHJw,How I Use The New Claude Code Agent Teams,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
66oOi9OLMCw,Why the 60-30-10 Rule is RUINING Your UI Designs,ai-llms,0.071,"{""ai-llms"": 1, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
rcRS8-7OgBo,Claude Code Skills & skills.sh - Crash Course,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
5dTjU2BPPis,Keep Using Your Local Claude Code Session from Any Device | Huge Unlock!,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 2, ""software-engineering"": 2}"
Sg74Di2Yc88,"Claude Can Now Do ""OpenClaw"" Natively (Remote Control + Tasks)",ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 2, ""software-engineering"": 1}"
bzWI3Dil9Ig,My Multi-Agent Team with OpenClaw,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 3, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 2, ""software-engineering"": 2}"
9pIMaCbPc0Q,Build your own marketing tools with Claude Code,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 4, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 5}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.714,"{""ai-llms"": 10, ""business"": 3, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 3, ""software-engineering"": 7}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.786,"{""ai-llms"": 11, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 4}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.643,"{""ai-llms"": 9, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 3}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.643,"{""ai-llms"": 9, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 3}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.571,"{""ai-llms"": 8, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 2, ""software-engineering"": 6}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.571,"{""ai-llms"": 8, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 2, ""software-engineering"": 3}"
xgPWCuqLoek,"The Complete Agentic RAG Build: 8 Modules, 2+ Hours, Full Stack",ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 6}"
qyomWr_C_jA,The Easy Way to Design Top Tier Websites,ai-llms,0.071,"{""ai-llms"": 1, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 1}"
5QZxWmDl_tc,Meet Sidecar: You might never open Cursor again,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 3}"
HcLz3ikw-n0,Designer's toolkit for Claude Code,ai-llms,0.143,"{""ai-llms"": 2, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
HcLz3ikw-n0,Designer's toolkit for Claude Code,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 3}"
HcLz3ikw-n0,Designer's toolkit for Claude Code,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 2, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 3}"
-xHprsdG4ME,The Secret Poison Killing Your Claude Code Performance,ai-llms,0.571,"{""ai-llms"": 8, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
AaO6ujcx6TY,Stealing $10K Website Designs with Claude Code,ai-llms,0.214,"{""ai-llms"": 3, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 1}"
4N_TfYVNM7k,Claude Code is Taking Video Editor Jobs Now (Remotion Skills),ai-llms,0.214,"{""ai-llms"": 3, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 2}"
o3gmwzo-Mik,"AI changes *Nothing* — Dax Raad, OpenCode",ai-llms,0.214,"{""ai-llms"": 3, ""business"": 2, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 2}"
Bme9f5oKK3E,10 Claude Code Tips for Non-Developers (No Terminal Needed),ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 3}"
Vo9VUnzYqpw,How I Get Unlimited Leads Using Claude Code (For Cold Email),ai-llms,0.214,"{""ai-llms"": 3, ""business"": 2, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 1, ""software-engineering"": 2}"
LvLdNkgO-N0,"The senior engineer's guide to AI coding: Context loading, custom hooks, and automation",ai-llms,0.429,"{""ai-llms"": 6, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 4}"
96Vl8s3EQhk,"5 OpenClaw agents run my home, finances, and code | Jesse Genet",software-engineering,0.308,"{""ai-llms"": 3, ""business"": 2, ""faith"": 1, ""finance-investing"": 3, ""hardware-homelab"": 1, ""software-engineering"": 4}"
Yb9IyTOh0xg,“Anyone can cook”: How v0 is bringing git workflows to vibe-coding | Guillermo Rauch (Vercel CEO),ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 1, ""software-engineering"": 4}"
Yb9IyTOh0xg,“Anyone can cook”: How v0 is bringing git workflows to vibe-coding | Guillermo Rauch (Vercel CEO),ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 2}"
Yb9IyTOh0xg,“Anyone can cook”: How v0 is bringing git workflows to vibe-coding | Guillermo Rauch (Vercel CEO),ai-llms,0.143,"{""ai-llms"": 2, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
Yb9IyTOh0xg,"Guillermo Rauch: Vercel CEO on how v0 hit 3,200 PRs merged per day (and lets anyone ship)",ai-llms,0.143,"{""ai-llms"": 2, ""business"": 2, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
LvLdNkgO-N0,"The senior engineer's guide to AI coding: Context loading, custom hooks, and automation",ai-llms,0.357,"{""ai-llms"": 5, ""business"": 3, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 5}"
LvLdNkgO-N0,"The senior engineer's guide to AI coding: Context loading, custom hooks, and automation",ai-llms,0.571,"{""ai-llms"": 8, ""business"": 4, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 6}"
Yb9IyTOh0xg,"Guillermo Rauch: Vercel CEO on how v0 hit 3,200 PRs merged per day (and lets anyone ship)",ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 1, ""software-engineering"": 4}"
Yb9IyTOh0xg,"Guillermo Rauch: Vercel CEO on how v0 hit 3,200 PRs merged per day (and lets anyone ship)",ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 2}"
